day,growthFrond,ageGroup
20.7453,14.4649,1
42.2075,34.6125,1
65.3868,50.1107,1
85.9906,50.1107,1
107.4528,54.5018,1
128.0566,24.797,1
145.2264,19.3727,1
164.9717,6.4576,1
177.8491,4.1328,1
193.3019,1.5498,1
211.3302,2.3247,1
234.5094,0.7749,1
280.0094,1.8081,1
362.4245,11.107,1
21.6038,12.3985,2
43.066,26.6052,2
63.6698,48.5609,2
85.9906,48.5609,2
106.5943,61.476,2
128.0566,32.0295,2
145.2264,22.9889,2
164.9717,3.8745,2
178.7075,5.6827,2
193.3019,2.0664,2
212.1887,3.0996,2
232.7925,1.5498,2
279.1509,2.0664,2
342.6792,3.8745,2
362.4245,7.4908,2
22.4623,13.9483,3
42.2075,24.0221,3
65.3868,55.5351,3
85.9906,61.9926,3
106.5943,65.8672,3
127.1981,33.8376,3
146.0849,16.5314,3
164.9717,5.1661,3
178.7075,2.0664,3
194.1604,2.0664,3
212.1887,3.3579,3
233.6509,1.8081,3
279.1509,2.8413,3
342.6792,4.9077,3
362.4245,7.7491,3
18.1698,8.7823,4
48.217,20.1476,4
80.8396,35.6458,4
109.1698,43.6531,4
129.7736,23.5055,4
146.0849,15.2399,4
164.1132,3.6162,4
178.7075,2.583,4
194.1604,2.0664,4
212.1887,1.8081,4
233.6509,2.0664,4
278.2925,2.0664,4
