weightFrond,areaFrond,depth,location
10,151.9756839,4,SE Muldoanich
50,547.645126,4,SE Muldoanich
100,952.3809524,4,SE Muldoanich
500,3436.426117,4,SE Muldoanich
10,159.7444089,7,SE Muldoanich
50,611.2469438,7,SE Muldoanich
100,1089.324619,7,SE Muldoanich
500,4163.197336,7,SE Muldoanich
10,167.5041876,14,SE Muldoanich
50,658.7615283,14,SE Muldoanich
100,1187.648456,14,SE Muldoanich
500,4668.53408,14,SE Muldoanich
10,105.0420168,19,SE Muldoanich
50,472.1435316,19,SE Muldoanich
100,900.9009009,19,SE Muldoanich
