stageFrom,stageTo,rate_mn,rate_sd,exposure,fetch
canopy,recruits,438,315,low,4
recruits,subcanopy,0.035388128,0.030465531,low,4
recruits,dead,0.965753425,0.030794075,low,4
subcanopy,subcanopy,0.331896552,0.076554152,low,4
subcanopy,canopy,0.198275862,0.076372025,low,4
subcanopy,dead,0.469827586,0.272644487,low,4
canopy,canopy,0.483146067,0.128307357,low,4
canopy,dead,0.516853933,0.112178325,low,4
canopy,recruits,476,55,medium,4.2
recruits,subcanopy,0.040756303,0.004176731,medium,4.2
recruits,dead,0.960084034,0.001911215,medium,4.2
subcanopy,subcanopy,0.318181818,0.030571199,medium,4.2
subcanopy,canopy,0.13986014,0.011541556,medium,4.2
subcanopy,dead,0.538461538,0.060585432,medium,4.2
canopy,canopy,0.452054795,0.048208641,medium,4.2
canopy,dead,0.547945205,0.009747103,medium,4.2
canopy,recruits,1854,1282,high,4.4
recruits,subcanopy,0.026968716,0.027401913,high,4.4
recruits,dead,0.973031284,0.027227088,high,4.4
subcanopy,subcanopy,0.246987952,0.056809516,high,4.4
subcanopy,canopy,0.075301205,0.028074322,high,4.4
subcanopy,dead,0.676204819,0.127681612,high,4.4
canopy,canopy,0.585365854,0.010365854,high,4.4
canopy,dead,0.406504065,0.001829268,high,4.4
