location,lat,lon,lat.1,lat.2,lon.1,lon.2,fetch
Port Erin,54.08583333,-4.77,54,5.15,-4,46.2,384
Spanish Head,54.055,-4.778333333,54,3.3,-4,46.7,3989
Kallow Point,54.06666667,-4.736666667,54,4,-4,44.2,3939
Connel Sound,56.45,-5.4,56,27,-5,24,40.5
Cuan Sound,56.26666667,-5.633333333,56,16,-5,38,26.3
Loch Eatharna,56.61666667,-6.5,56,37,-6,30,1850
SE Muldoanich,56.91666667,-7.433333333,56,55,-7,26,3576
NE Muldoanich,57.13333333,-7.233333333,57,8,-7,14,1282
McKenzie Rock,57.13333333,-7.233333333,57,8,-7,14,1282
Griean Head,57.01666667,-7.533333333,57,1,-7,32,7228
Norway,59,,,,,,
Creg Liauyr,54.08583333,-4.77,54,5.15,-4,46.2,384
SW Longa,57.71166667,-5.675,57,42.7,-5,40.5,26.3
Molde,62.83333333,6.5,62,50,6,30,
PedersonS1,62.79978333,6.5262,62,47.987,6,31.572,
PedersonS2,62.81455,6.535933333,62,48.873,6,32.156,
PedersonS3,62.81888333,6.5564,62,49.133,6,33.384,
PedersonM1,62.81568333,6.51105,62,48.941,6,30.663,
PedersonM2,62.81713333,6.529683333,62,49.028,6,31.781,
PedersonM3,62.8233,6.551533333,62,49.398,6,33.092,
PedersonE1,62.80711667,6.4082,62,48.427,6,24.492,
PedersonE2,62.80825,6.411533333,62,48.495,6,24.692,
PedersonE3,62.80923333,6.4047,62,48.554,6,24.282,
